Rank,Ticker,Name,Weight
0,EME,EMCOR Group Inc.,0.940387
1,IBKR,Interactive Brokers Group Inc. Class A,0.939161
2,FIX,Comfort Systems USA Inc.,0.820515
3,CASH_USD,U.S. Dollar,0.780137
4,RBA,RB Global Inc.,0.680193
5,USFD,US Foods Holding Corp.,0.66147
6,CASY,Casey's General Stores Inc.,0.653591
7,CW,Curtiss-Wright Corporation,0.648138
8,FLEX,Flex Ltd,0.644952
9,GWRE,Guidewire Software Inc.,0.638858
10,PSTG,Pure Storage Inc. Class A,0.602643
11,BURL,Burlington Stores Inc.,0.60185
12,COHR,Coherent Corp.,0.562363
13,BWXT,BWX Technologies Inc.,0.554455
14,OKTA,Okta Inc. Class A,0.55171
15,ACM,AECOM,0.530823
16,EQH,Equitable Holdings Inc.,0.524842
17,RPM,RPM International Inc.,0.519253
18,PFGC,Performance Food Group Co,0.517968
19,CSL,Carlisle Companies Incorporated,0.517025
20,DOCU,DocuSign Inc.,0.513761
21,SGI,Somnigroup International Inc.,0.513442
22,FNF,Fidelity National Financial Inc. - FNF Group,0.512443
23,DT,Dynatrace Inc.,0.511517
24,RS,Reliance Inc.,0.507785
25,WWD,Woodward Inc.,0.505673
26,ILMN,Illumina Inc.,0.504719
27,NVT,nVent Electric plc,0.501628
28,THC,Tenet Healthcare Corporation,0.499472
29,SFM,Sprouts Farmers Market Inc.,0.498101
30,WSO,Watsco Inc.,0.492406
31,XPO,XPO Inc.,0.489454
32,BJ,BJ's Wholesale Club Holdings Inc.,0.484523
33,WPC,W. P. Carey Inc.,0.47933
34,GGG,Graco Inc.,0.470697
35,UTHR,United Therapeutics Corporation,0.460577
36,EWBC,East West Bancorp Inc.,0.458332
37,LECO,Lincoln Electric Holdings Inc.,0.456025
38,DUOL,Duolingo Inc. Class A,0.455498
39,CIEN,Ciena Corporation,0.45264
40,CG,Carlyle Group Inc,0.452515
41,MANH,Manhattan Associates Inc.,0.442783
42,JLL,Jones Lang LaSalle Incorporated,0.44119
43,ITT,ITT Inc.,0.439138
44,NBIX,Neurocrine Biosciences Inc.,0.429154
45,APG,APi Group Corporation,0.42827
